height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 755
P.y = 19.857912, Pt.y = 0.000000, Q.y = 19.857912, Qt.y = 0.000000, R.y = 19.857912, Rt.y = 0.000000, S.y = 19.857912, St.y = 0.000000
P.y = 19.845287, Pt.y = 0.000000, Q.y = 19.845287, Qt.y = 0.000000, R.y = 19.845287, Rt.y = 0.000000, S.y = 19.845287, St.y = 0.000000
P.y = 19.832127, Pt.y = 0.000000, Q.y = 19.832127, Qt.y = 0.000000, R.y = 19.832127, Rt.y = 0.000000, S.y = 19.832127, St.y = 0.000000
P.y = 19.818428, Pt.y = 0.000000, Q.y = 19.818428, Qt.y = 0.000000, R.y = 19.818428, Rt.y = 0.000000, S.y = 19.818428, St.y = 0.000000
P.y = 19.804192, Pt.y = 0.000000, Q.y = 19.804192, Qt.y = 0.000000, R.y = 19.804192, Rt.y = 0.000000, S.y = 19.804192, St.y = 0.000000
P.y = 19.789419, Pt.y = 0.000000, Q.y = 19.789419, Qt.y = 0.000000, R.y = 19.789419, Rt.y = 0.000000, S.y = 19.789419, St.y = 0.000000
P.y = 19.774109, Pt.y = 0.000000, Q.y = 19.774109, Qt.y = 0.000000, R.y = 19.774109, Rt.y = 0.000000, S.y = 19.774109, St.y = 0.000000
P.y = 19.758261, Pt.y = 0.000000, Q.y = 19.758261, Qt.y = 0.000000, R.y = 19.758261, Rt.y = 0.000000, S.y = 19.758261, St.y = 0.000000
P.y = 19.741877, Pt.y = 0.000000, Q.y = 19.741877, Qt.y = 0.000000, R.y = 19.741877, Rt.y = 0.000000, S.y = 19.741877, St.y = 0.000000
P.y = 19.724955, Pt.y = 0.000000, Q.y = 19.724955, Qt.y = 0.000000, R.y = 19.724955, Rt.y = 0.000000, S.y = 19.724955, St.y = 0.000000
P.y = 19.707497, Pt.y = 0.000000, Q.y = 19.707497, Qt.y = 0.000000, R.y = 19.707497, Rt.y = 0.000000, S.y = 19.707497, St.y = 0.000000
P.y = 19.689501, Pt.y = 0.000000, Q.y = 19.689501, Qt.y = 0.000000, R.y = 19.689501, Rt.y = 0.000000, S.y = 19.689501, St.y = 0.000000
P.y = 19.670967, Pt.y = 0.000000, Q.y = 19.670967, Qt.y = 0.000000, R.y = 19.670967, Rt.y = 0.000000, S.y = 19.670967, St.y = 0.000000
P.y = 19.651897, Pt.y = 0.000000, Q.y = 19.651897, Qt.y = 0.000000, R.y = 19.651897, Rt.y = 0.000000, S.y = 19.651897, St.y = 0.000000
P.y = 19.632290, Pt.y = 0.000000, Q.y = 19.632290, Qt.y = 0.000000, R.y = 19.632290, Rt.y = 0.000000, S.y = 19.632290, St.y = 0.000000
P.y = 19.612144, Pt.y = 0.000000, Q.y = 19.612144, Qt.y = 0.000000, R.y = 19.612144, Rt.y = 0.000000, S.y = 19.612144, St.y = 0.000000
P.y = 19.591463, Pt.y = 0.000000, Q.y = 19.591463, Qt.y = 0.000000, R.y = 19.591463, Rt.y = 0.000000, S.y = 19.591463, St.y = 0.000000
P.y = 19.570244, Pt.y = 0.000000, Q.y = 19.570244, Qt.y = 0.000000, R.y = 19.570244, Rt.y = 0.000000, S.y = 19.570244, St.y = 0.000000
P.y = 19.548487, Pt.y = 0.000000, Q.y = 19.548487, Qt.y = 0.000000, R.y = 19.548487, Rt.y = 0.000000, S.y = 19.548487, St.y = 0.000000
P.y = 19.526194, Pt.y = 0.000000, Q.y = 19.526194, Qt.y = 0.000000, R.y = 19.526194, Rt.y = 0.000000, S.y = 19.526194, St.y = 0.000000
P.y = 19.503363, Pt.y = 0.000000, Q.y = 19.503363, Qt.y = 0.000000, R.y = 19.503363, Rt.y = 0.000000, S.y = 19.503363, St.y = 0.000000
P.y = 19.479994, Pt.y = 0.000000, Q.y = 19.479994, Qt.y = 0.000000, R.y = 19.479994, Rt.y = 0.000000, S.y = 19.479994, St.y = 0.000000
P.y = 19.456089, Pt.y = 0.000000, Q.y = 19.456089, Qt.y = 0.000000, R.y = 19.456089, Rt.y = 0.000000, S.y = 19.456089, St.y = 0.000000
P.y = 19.431646, Pt.y = 0.000000, Q.y = 19.431646, Qt.y = 0.000000, R.y = 19.431646, Rt.y = 0.000000, S.y = 19.431646, St.y = 0.000000
P.y = 19.406668, Pt.y = 0.000000, Q.y = 19.406668, Qt.y = 0.000000, R.y = 19.406668, Rt.y = 0.000000, S.y = 19.406668, St.y = 0.000000
P.y = 19.381151, Pt.y = 0.000000, Q.y = 19.381151, Qt.y = 0.000000, R.y = 19.381151, Rt.y = 0.000000, S.y = 19.381151, St.y = 0.000000
P.y = 19.355097, Pt.y = 0.000000, Q.y = 19.355097, Qt.y = 0.000000, R.y = 19.355097, Rt.y = 0.000000, S.y = 19.355097, St.y = 0.000000
P.y = 19.330971, Pt.y = 0.000000, Q.y = 19.330971, Qt.y = 0.000000, R.y = 19.330971, Rt.y = 0.000000, S.y = 19.330971, St.y = 0.000000
P.y = 19.306402, Pt.y = 0.000000, Q.y = 19.306402, Qt.y = 0.000000, R.y = 19.306402, Rt.y = 0.000000, S.y = 19.306402, St.y = 0.000000
P.y = 19.281391, Pt.y = 0.000000, Q.y = 19.281391, Qt.y = 0.000000, R.y = 19.281391, Rt.y = 0.000000, S.y = 19.281391, St.y = 0.000000
P.y = 19.255938, Pt.y = 0.000000, Q.y = 19.255938, Qt.y = 0.000000, R.y = 19.255938, Rt.y = 0.000000, S.y = 19.255938, St.y = 0.000000
P.y = 19.230040, Pt.y = 0.000000, Q.y = 19.230040, Qt.y = 0.000000, R.y = 19.230040, Rt.y = 0.000000, S.y = 19.230040, St.y = 0.000000
P.y = 19.203699, Pt.y = 0.000000, Q.y = 19.203699, Qt.y = 0.000000, R.y = 19.203699, Rt.y = 0.000000, S.y = 19.203699, St.y = 0.000000
P.y = 19.176916, Pt.y = 0.000000, Q.y = 19.176916, Qt.y = 0.000000, R.y = 19.176916, Rt.y = 0.000000, S.y = 19.176916, St.y = 0.000000
P.y = 19.149691, Pt.y = 0.000000, Q.y = 19.149691, Qt.y = 0.000000, R.y = 19.149691, Rt.y = 0.000000, S.y = 19.149691, St.y = 0.000000
P.y = 19.122021, Pt.y = 0.000000, Q.y = 19.122021, Qt.y = 0.000000, R.y = 19.122021, Rt.y = 0.000000, S.y = 19.122021, St.y = 0.000000
P.y = 19.093908, Pt.y = 0.000000, Q.y = 19.093908, Qt.y = 0.000000, R.y = 19.093908, Rt.y = 0.000000, S.y = 19.093908, St.y = 0.000000
P.y = 19.065353, Pt.y = 0.000000, Q.y = 19.065353, Qt.y = 0.000000, R.y = 19.065353, Rt.y = 0.000000, S.y = 19.065353, St.y = 0.000000
P.y = 19.036356, Pt.y = 0.000000, Q.y = 19.036356, Qt.y = 0.000000, R.y = 19.036356, Rt.y = 0.000000, S.y = 19.036356, St.y = 0.000000
P.y = 19.006914, Pt.y = 0.000000, Q.y = 19.006914, Qt.y = 0.000000, R.y = 19.006914, Rt.y = 0.000000, S.y = 19.006914, St.y = 0.000000
P.y = 18.977030, Pt.y = 0.000000, Q.y = 18.977030, Qt.y = 0.000000, R.y = 18.977030, Rt.y = 0.000000, S.y = 18.977030, St.y = 0.000000
P.y = 18.946703, Pt.y = 0.000000, Q.y = 18.946703, Qt.y = 0.000000, R.y = 18.946703, Rt.y = 0.000000, S.y = 18.946703, St.y = 0.000000
P.y = 18.915932, Pt.y = 0.000000, Q.y = 18.915932, Qt.y = 0.000000, R.y = 18.915932, Rt.y = 0.000000, S.y = 18.915932, St.y = 0.000000
P.y = 18.884718, Pt.y = 0.000000, Q.y = 18.884718, Qt.y = 0.000000, R.y = 18.884718, Rt.y = 0.000000, S.y = 18.884718, St.y = 0.000000
P.y = 18.853062, Pt.y = 0.000000, Q.y = 18.853062, Qt.y = 0.000000, R.y = 18.853062, Rt.y = 0.000000, S.y = 18.853062, St.y = 0.000000
P.y = 18.820963, Pt.y = 0.000000, Q.y = 18.820963, Qt.y = 0.000000, R.y = 18.820963, Rt.y = 0.000000, S.y = 18.820963, St.y = 0.000000
