height_map envu: number_of_rows = 40, number_of_columns = 40
my_vehicle->iID = 349
P.y = 19.867496, Pt.y = 0.000000, Q.y = 19.867496, Qt.y = 0.000000, R.y = 19.867496, Rt.y = 0.000000, S.y = 19.867496, St.y = 0.000000
P.y = 19.847891, Pt.y = 0.000000, Q.y = 19.847891, Qt.y = 0.000000, R.y = 19.847891, Rt.y = 0.000000, S.y = 19.847891, St.y = 0.000000
P.y = 19.826933, Pt.y = 0.000000, Q.y = 19.826933, Qt.y = 0.000000, R.y = 19.826933, Rt.y = 0.000000, S.y = 19.826933, St.y = 0.000000
P.y = 19.804623, Pt.y = 0.000000, Q.y = 19.804623, Qt.y = 0.000000, R.y = 19.804623, Rt.y = 0.000000, S.y = 19.804623, St.y = 0.000000
P.y = 19.780962, Pt.y = 0.000000, Q.y = 19.780962, Qt.y = 0.000000, R.y = 19.780962, Rt.y = 0.000000, S.y = 19.780962, St.y = 0.000000
P.y = 19.755949, Pt.y = 0.000000, Q.y = 19.755949, Qt.y = 0.000000, R.y = 19.755949, Rt.y = 0.000000, S.y = 19.755949, St.y = 0.000000
P.y = 19.729584, Pt.y = 0.000000, Q.y = 19.729584, Qt.y = 0.000000, R.y = 19.729584, Rt.y = 0.000000, S.y = 19.729584, St.y = 0.000000
P.y = 19.701866, Pt.y = 0.000000, Q.y = 19.701866, Qt.y = 0.000000, R.y = 19.701866, Rt.y = 0.000000, S.y = 19.701866, St.y = 0.000000
P.y = 19.672796, Pt.y = 0.000000, Q.y = 19.672796, Qt.y = 0.000000, R.y = 19.672796, Rt.y = 0.000000, S.y = 19.672796, St.y = 0.000000
P.y = 19.642374, Pt.y = 0.000000, Q.y = 19.642374, Qt.y = 0.000000, R.y = 19.642374, Rt.y = 0.000000, S.y = 19.642374, St.y = 0.000000
P.y = 19.610600, Pt.y = 0.000000, Q.y = 19.610600, Qt.y = 0.000000, R.y = 19.610600, Rt.y = 0.000000, S.y = 19.610600, St.y = 0.000000
P.y = 19.577473, Pt.y = 0.000000, Q.y = 19.577473, Qt.y = 0.000000, R.y = 19.577473, Rt.y = 0.000000, S.y = 19.577473, St.y = 0.000000
P.y = 19.542994, Pt.y = 0.000000, Q.y = 19.542994, Qt.y = 0.000000, R.y = 19.542994, Rt.y = 0.000000, S.y = 19.542994, St.y = 0.000000
P.y = 19.507164, Pt.y = 0.000000, Q.y = 19.507164, Qt.y = 0.000000, R.y = 19.507164, Rt.y = 0.000000, S.y = 19.507164, St.y = 0.000000
P.y = 19.469982, Pt.y = 0.000000, Q.y = 19.469982, Qt.y = 0.000000, R.y = 19.469982, Rt.y = 0.000000, S.y = 19.469982, St.y = 0.000000
P.y = 19.431448, Pt.y = 0.000000, Q.y = 19.431448, Qt.y = 0.000000, R.y = 19.431448, Rt.y = 0.000000, S.y = 19.431448, St.y = 0.000000
P.y = 19.391562, Pt.y = 0.000000, Q.y = 19.391562, Qt.y = 0.000000, R.y = 19.391562, Rt.y = 0.000000, S.y = 19.391562, St.y = 0.000000
P.y = 19.350323, Pt.y = 0.000000, Q.y = 19.350323, Qt.y = 0.000000, R.y = 19.350323, Rt.y = 0.000000, S.y = 19.350323, St.y = 0.000000
P.y = 19.307732, Pt.y = 0.000000, Q.y = 19.307732, Qt.y = 0.000000, R.y = 19.307732, Rt.y = 0.000000, S.y = 19.307732, St.y = 0.000000
P.y = 19.263788, Pt.y = 0.000000, Q.y = 19.263788, Qt.y = 0.000000, R.y = 19.263788, Rt.y = 0.000000, S.y = 19.263788, St.y = 0.000000
P.y = 19.218493, Pt.y = 0.000000, Q.y = 19.218493, Qt.y = 0.000000, R.y = 19.218493, Rt.y = 0.000000, S.y = 19.218493, St.y = 0.000000
P.y = 19.171844, Pt.y = 0.000000, Q.y = 19.171844, Qt.y = 0.000000, R.y = 19.171844, Rt.y = 0.000000, S.y = 19.171844, St.y = 0.000000
P.y = 19.123846, Pt.y = 0.000000, Q.y = 19.123846, Qt.y = 0.000000, R.y = 19.123846, Rt.y = 0.000000, S.y = 19.123846, St.y = 0.000000
P.y = 19.074495, Pt.y = 0.000000, Q.y = 19.074495, Qt.y = 0.000000, R.y = 19.074495, Rt.y = 0.000000, S.y = 19.074495, St.y = 0.000000
P.y = 19.023792, Pt.y = 0.000000, Q.y = 19.023792, Qt.y = 0.000000, R.y = 19.023792, Rt.y = 0.000000, S.y = 19.023792, St.y = 0.000000
P.y = 18.971737, Pt.y = 0.000000, Q.y = 18.971737, Qt.y = 0.000000, R.y = 18.971737, Rt.y = 0.000000, S.y = 18.971737, St.y = 0.000000
P.y = 18.918329, Pt.y = 0.000000, Q.y = 18.918329, Qt.y = 0.000000, R.y = 18.918329, Rt.y = 0.000000, S.y = 18.918329, St.y = 0.000000
P.y = 18.863569, Pt.y = 0.000000, Q.y = 18.863569, Qt.y = 0.000000, R.y = 18.863569, Rt.y = 0.000000, S.y = 18.863569, St.y = 0.000000
P.y = 18.807457, Pt.y = 0.000000, Q.y = 18.807457, Qt.y = 0.000000, R.y = 18.807457, Rt.y = 0.000000, S.y = 18.807457, St.y = 0.000000
P.y = 18.749992, Pt.y = 0.000000, Q.y = 18.749992, Qt.y = 0.000000, R.y = 18.749992, Rt.y = 0.000000, S.y = 18.749992, St.y = 0.000000
